song_id,title,artist
song_0001,アカシア,BUMP OF CHICKEN
song_0002,"Hello, world!",BUMP OF CHICKEN
song_0003,SOUVENIR,BUMP OF CHICKEN
song_0004,クロノスタシス,BUMP OF CHICKEN
song_0005,Strawberry,BUMP OF CHICKEN
song_0006,車輪の唄,BUMP OF CHICKEN
song_0007,天体観測,BUMP OF CHIKEN
song_0008,ray,BUMP OF CHICKEN
song_0009,Sleep Walking Orchestra,
song_0010,アンサー,BUMP OF CHICKEN
song_0011,なないろ,BUMP OF CHICKEN
song_0012,pinkie,BUMP OF CHICKEN
song_0013,記念撮影,
song_0014,邂逅,
song_0015,太陽,BUMP OF CHICKEN
song_0016,メーデー,BUMP OF CHICKEN
song_0017,レム,BUMP OF CHICKEN
song_0018,Gravity,
song_0019,木漏れ日と一緒に,
song_0020,窓の中から,
song_0021,en.01 you were here,
song_0022,en.02 ガラスのブルース,
song_0023,en.03 花の名,
song_0024,境界線,amazarashi
song_0025,ナイトメア,amazarashi
song_0026,黎明期,amazarashi
song_0027,痛覚,amazarashi
song_0028,アダプテット,amazarashi
song_0029,アンチノミー,amazarashi
song_0030,配信が止まるトラブル発生,
song_0031,少し巻き戻して再開,
song_0032,ワンルーム叙事詩,amazarashi
song_0033,ナモナキヒト,amazarashi
song_0034,風に流離い,amazarashi
song_0035,性善説,amazarashi
song_0036,多数決,amazarashi
song_0037,逃避行,amazarashi
song_0038,美しき思い出,amazarashi
song_0039,もう一度,amazarashi
song_0040,とどめを刺して,amazarashi
song_0041,空洞空洞,amazarashi
song_0042,アンアライブ,amazarashi
song_0043,1.0,amazarashi
song_0044,スターライト,amazarashi
song_0045,フィロソフィー,amazarashi
song_0046,空に歌えば,amazarashi
song_0047,季節は次々死んでいく,amazarashi
song_0048,夏空,Galileo Galilei
song_0049,クライマー,
song_0050,サークルゲーム,
song_0051,恋の寿命,
song_0052,明日へ,
song_0053,バナナフィッシュの浜辺と黒い虹,Galileo Galilei
song_0054,ハローグッバイ,
song_0055,四ツ葉さがしの旅人,
song_0056,僕から君へ,
song_0057,青い栞,Galileo Galilei
song_0058,乗車権のイントロのライブアレンジ,
song_0059,今後どんな「BUMP OF CHICKEN」縛りがいいと思う？,
song_0060,ライブハウスは行けましたか？,
song_0061,思い出した。この日チャマさんが投げたペットボトルの水か掛かった,
song_0062,藤原さんの誕生日と「はじめてのチュウ」を歌ってくれた話,
song_0063,"STADIUM TOUR 2016 ""BFLY"" のセトリ",
song_0064,ダイヤモンド,BUMP OF CHICKEN
song_0065,ハルジオン,BUMP OF CHICKEN
song_0066,sailing day,BUMP OF CHICKEN
song_0067,ロストマン,
song_0068,オンリーロンリーグローリー,BUMP OF CHICKEN
song_0069,カルマ,BUMP OF CHICKEN
song_0070,涙のふるさと,BUMP OF CHICKEN
song_0071,R.I.P.,
song_0072,firefly,BUMP OF CHICKEN
song_0073,ファイター,
song_0074,Aurora,BUMP OF CHICKEN
song_0075,ギルド,BUMP OF CHICKEN
song_0076,ゼロ,BUMP OF CHICKEN
song_0077,悪魔の踊り方,キタニタツヤ
